2nd Column,6th Column,8th Column
"1,450","1,219,005",2022-12-09
"1,300","733,133",2022-12-12
"1,285","530,583",2022-12-12
"1,230","630,639",2022-12-13
"1,200","184,979",2022-12-14
"1,250","125,206",2022-12-15
"1,259","76,367",2022-12-16
"1,270","166,210",2022-12-19
"1,258","71,804",2022-12-20
"1,239","87,970",2022-12-21
"1,223","52,223",2022-12-22
"1,215","70,058",2022-12-23
"1,210","191,419",2022-12-26
"1,239","458,334",2022-12-27
"1,255","264,732",2022-12-28
"1,281","225,935",2022-12-30
"1,263","65,340",2023-01-02
"1,262","39,792",2023-01-03
"1,239","10,204",2023-01-04
"1,222","27,183",2023-01-05
"1,220","23,768",2023-01-06
"1,216","22,747",2023-01-09
"1,200","47,476",2023-01-10
"1,220","62,217",2023-01-11
"1,200","18,150",2023-01-12
"1,200","21,688",2023-01-13
"1,200","22,671",2023-01-16
"1,174","31,760",2023-01-17
"1,171","9,911",2023-01-18
"1,167","50,094",2023-01-19
"1,135","19,920",2023-01-20
"1,180","66,797",2023-01-23
"1,225","72,305",2023-01-24
"1,285","2,101,168",2023-01-24
"1,249","160,384",2023-01-25
"1,269","176,927",2023-01-26
"1,285","233,463",2023-01-26
"1,279","201,091",2023-01-27
"1,277","261,113",2023-01-30
"1,278","105,713",2023-01-31
"1,300","586,757",2023-02-01
"1,291","252,401",2023-02-02
"1,285","134,153",2023-02-03
"1,250","50,062",2023-02-06
"1,198","6,334",2023-02-07
"1,198","19,217",2023-02-08
"1,195","14,260",2023-02-09
"1,179","8,065",2023-02-10
"1,156","15,593",2023-02-13
"1,145","16,068",2023-02-14
"1,155","19,939",2023-02-15
"1,150","26,270",2023-02-16
"1,150","10,040",2023-02-17
"1,160","15,727",2023-02-20
"1,160","11,087",2023-02-24
"1,151","22,200",2023-02-27
"1,151","9,613",2023-02-28
"1,149","7,272",2023-03-01
"1,145","12,298",2023-03-02
"1,140","12,863",2023-03-03
"1,130","9,731",2023-03-06
"1,130","31,794",2023-03-07
"1,150","27,052",2023-03-09
"1,140","14,554",2023-03-10
"1,137","18,195",2023-03-13
"1,119","18,139",2023-03-14
"1,108","19,955",2023-03-15
"1,278","841,024",2023-03-15
"1,119","23,781",2023-03-16
"1,109","26,682",2023-03-17
"1,108","19,424",2023-03-20
"1,100","62,997",2023-03-21
"1,098","42,809",2023-03-22
"1,091","23,839",2023-03-23
"1,099","42,175",2023-03-24
"1,099","57,116",2023-03-27
"1,099","38,841",2023-03-28
"1,093","11,204",2023-03-29
"1,082","111,186",2023-03-30
"1,069","11,298",2023-03-31
"1,022","14,870",2023-04-03
"1,015","24,889",2023-04-04
"1,020","67,906",2023-04-05
982,"27,173",2023-04-06
"1,002","48,485",2023-04-07
"1,020","63,359",2023-04-10
"1,015","56,283",2023-04-11
"1,008","46,670",2023-04-12
999,"10,144",2023-04-13
990,"8,848",2023-04-14
987,"17,840",2023-04-17
985,"16,870",2023-04-18
"1,005","40,331",2023-04-19
"1,099","54,078",2023-04-20
"1,099","11,869",2023-04-21
"1,099","59,998",2023-04-24
"1,149","294,440",2023-04-25
"1,145","83,339",2023-04-26
"1,098","6,320",2023-04-27
"1,088","2,228",2023-04-28
"1,060","12,814",2023-05-01
"1,050","15,273",2023-05-02
"1,060","32,949",2023-05-03
"1,052","19,303",2023-05-04
"1,039","16,351",2023-05-05
"1,050","11,268",2023-05-08
"1,046","7,181",2023-05-09
"1,044","5,317",2023-05-10
"1,044","22,454",2023-05-11
